"Customer.Months","Churn","CHI.Score.Mon0","CHI.Score","Support.Cases.Mon0","Support.Cases","SP.Mon0","SP","Logins","Blog.Articles","Views","Days.Since.Last.Login","Logins_log","Views_log","Blog.Articles_log","Views_per_Login","Blog_per_Login","Support_Score_Interaction","Login_View_Interaction","Activity_Score"
13,1,122,31,6,4,3,0,94,4,-1,-9,4.55387689160054,-Inf,1.6094379124341,-0.0106382978723404,0.0425531914893617,124,-94,7.46153846153846
48,0,109,50,0,-1,0,-2,2,1,-221,13,1.09861228866811,NA,0.693147180559945,-110.5,0.5,-50,-442,-4.54166666666667
43,0,0,0,1,1,2,2,0,0,0,31,0,0,0,0,0,0,0,0
46,0,10,10,0,0,0,0,10,0,0,31,2.39789527279837,0,0,0,0,0,0,0.217391304347826
47,0,145,10,0,0,0,0,38,0,-5083,0,3.66356164612965,NA,0,-133.763157894737,0,0,-193154,-107.340425531915
48,0,108,33,0,0,0,0,6,0,993,31,1.94591014905531,6.90173720665657,0,165.5,0,0,5958,20.8125
45,0,45,0,0,0,0,0,7,0,-13,3,2.07944154167984,NA,0,-1.85714285714286,0,0,-91,-0.133333333333333
47,0,193,0,0,0,0,0,47,1,83,-1,3.87120101090789,4.43081679884331,0.693147180559945,1.76595744680851,0.0212765957446809,0,3901,2.78723404255319
47,0,101,39,0,0,0,0,24,1,-2,2,3.2188758248682,NA,0.693147180559945,-0.0833333333333333,0.0416666666666667,0,-48,0.48936170212766
47,0,17,-10,0,0,0,0,-4,0,2,-10,NA,1.09861228866811,0,0,0,0,-8,-0.0425531914893617
45,0,1,-70,0,0,0,0,-7,-1,0,3,NA,0,-Inf,0,0,0,0,-0.177777777777778
46,0,158,2,0,-1,0,-3,5,-4,12,3,1.79175946922805,2.56494935746154,NA,2.4,-0.8,-2,60,0.282608695652174
38,0,198,-15,0,0,0,0,21,0,-172,0,3.09104245335832,NA,0,-8.19047619047619,0,0,-3612,-3.97368421052632
38,0,77,-2,0,0,0,0,-3,0,716,-1,NA,6.57507584059962,0,0,0,0,-2148,18.7631578947368
47,0,82,0,0,0,0,0,11,0,0,3,2.484906649788,0,0,0,0,0,0,0.234042553191489
46,0,94,10,1,1,3,3,42,0,-63,-24,3.76120011569356,NA,0,-1.5,0,10,-2646,-0.456521739130435
28,0,152,-4,0,0,0,0,19,0,9,-2,2.99573227355399,2.30258509299405,0,0.473684210526316,0,0,171,1
46,0,125,15,1,1,3,3,11,0,-100,3,2.484906649788,NA,0,-9.09090909090909,0,15,-1100,-1.93478260869565
47,0,35,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
43,0,166,-1,0,0,0,0,10,-1,1304,-1,2.39789527279837,7.17395831975679,-Inf,130.4,-0.1,0,13040,30.5348837209302
46,0,61,-11,1,1,3,3,10,0,-35,15,2.39789527279837,NA,0,-3.5,0,-11,-350,-0.543478260869565
42,0,97,2,0,-1,0,-3,-28,0,0,0,NA,0,0,0,0,-2,0,-0.666666666666667
46,0,74,0,0,0,0,0,1,0,0,-3,0.693147180559945,0,0,0,0,0,0,0.0217391304347826
46,0,4,4,1,1,2,2,10,0,0,31,2.39789527279837,0,0,0,0,4,0,0.217391304347826
46,0,145,0,0,0,0,0,98,0,629,0,4.59511985013459,6.44571981938558,0,6.41836734693878,0,0,61642,15.804347826087
46,0,79,13,0,0,0,0,-4,0,4,-22,NA,1.6094379124341,0,0,0,0,-16,0
44,1,0,-12,0,0,0,0,-1,0,0,-90,-Inf,0,0,0,0,0,0,-0.0227272727272727
46,0,6,6,0,0,0,0,10,0,0,31,2.39789527279837,0,0,0,0,0,0,0.217391304347826
46,0,85,-36,0,0,0,0,2,-1,-37,-4,1.09861228866811,NA,-Inf,-18.5,-0.5,0,-74,-0.782608695652174
45,0,59,41,0,0,0,0,0,0,-57,31,0,NA,0,0,0,0,0,-1.26666666666667
46,0,109,-13,0,0,0,0,1,-2,158,-9,0.693147180559945,5.06890420222023,NA,158,-2,0,158,3.41304347826087
44,0,87,45,0,0,0,0,10,1,-4,30,2.39789527279837,NA,0.693147180559945,-0.4,0.1,0,-40,0.159090909090909
45,0,161,-10,0,0,0,0,-10,-4,71,0,NA,4.27666611901606,NA,0,0,0,-710,1.26666666666667
41,0,0,0,0,0,0,0,0,0,5,31,0,1.79175946922805,0,0,0,0,0,0.121951219512195
45,0,169,-8,9,-5,3,0,54,0,345,0,4.00733318523247,5.84643877505772,0,6.38888888888889,0,40,18630,8.86666666666667
44,0,88,22,0,-1,0,-3,30,0,-5,2,3.43398720448515,NA,0,-0.166666666666667,0,-22,-150,0.568181818181818
28,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
42,1,26,-13,0,0,0,0,0,0,16,-5,0,2.83321334405622,0,0,0,0,0,0.380952380952381
38,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
45,0,155,-6,0,0,0,0,-1,-4,127,0,-Inf,4.85203026391962,NA,0,0,0,-127,2.71111111111111
45,0,71,-11,0,0,0,0,-15,-1,0,0,NA,0,-Inf,0,0,0,0,-0.355555555555556
40,0,0,-125,0,0,0,0,-8,0,-216,6,NA,NA,0,0,0,0,1728,-5.6
44,0,0,-6,0,0,0,0,-10,0,0,-72,NA,0,0,0,0,0,0,-0.227272727272727
29,0,103,-8,0,0,0,0,3,3,15,-70,1.38629436111989,2.77258872223978,1.38629436111989,5,1,0,45,0.724137931034483
45,0,39,23,0,0,0,0,2,0,0,31,1.09861228866811,0,0,0,0,0,0,0.0444444444444444
43,0,42,10,0,0,0,0,6,0,-6,30,1.94591014905531,NA,0,-1,0,0,-36,0
45,0,73,-6,0,0,0,0,6,0,-1,-24,1.94591014905531,-Inf,0,-0.166666666666667,0,0,-6,0.111111111111111
45,0,58,38,0,0,0,0,6,0,-20,5,1.94591014905531,NA,0,-3.33333333333333,0,0,-120,-0.311111111111111
45,0,89,-5,0,-2,0,-3,-61,0,1013,0,NA,6.92165818415113,0,0,0,10,-61793,21.1555555555556
45,0,138,4,0,0,0,0,-8,0,534,-29,NA,6.28226674689601,0,0,0,0,-4272,11.6888888888889
42,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
45,0,90,0,0,0,0,0,7,0,-73,0,2.07944154167984,NA,0,-10.4285714285714,0,0,-511,-1.46666666666667
45,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
43,0,48,-11,0,0,0,0,-3,0,0,3,NA,0,0,0,0,0,0,-0.0697674418604651
44,0,10,-25,0,-1,0,-2,-4,0,-5,18,NA,NA,0,0,0,25,20,-0.204545454545455
44,0,106,0,0,0,0,0,7,0,30,4,2.07944154167984,3.43398720448515,0,4.28571428571429,0,0,210,0.840909090909091
44,0,128,35,0,-3,0,-3,-7,1,0,-15,NA,0,0.693147180559945,0,0,-105,0,-0.136363636363636
45,0,90,-5,0,0,0,0,21,0,-39,2,3.09104245335832,NA,0,-1.85714285714286,0,0,-819,-0.4
45,0,47,-21,0,0,0,0,-12,0,0,3,NA,0,0,0,0,0,0,-0.266666666666667
41,0,31,-26,0,0,0,0,0,0,-32,31,0,NA,0,0,0,0,0,-0.780487804878049
45,0,191,-1,0,0,0,0,12,-1,-28,0,2.56494935746154,NA,-Inf,-2.33333333333333,-0.0833333333333333,0,-336,-0.377777777777778
45,0,121,90,1,1,3,3,184,4,17,-7,5.22035582507832,2.89037175789616,1.6094379124341,0.0923913043478261,0.0217391304347826,90,3128,4.55555555555556
44,0,76,32,0,0,0,0,18,0,2,31,2.94443897916644,1.09861228866811,0,0.111111111111111,0,0,36,0.454545454545455
44,0,50,25,0,0,0,0,4,0,100,-187,1.6094379124341,4.61512051684126,0,25,0,0,400,2.36363636363636
43,0,101,84,0,0,0,0,6,1,38,30,1.94591014905531,3.66356164612965,0.693147180559945,6.33333333333333,0.166666666666667,0,228,1.04651162790698
44,0,74,-38,0,0,0,0,0,-2,243,0,0,5.4971682252932,NA,0,0,0,0,5.47727272727273
44,0,105,-5,0,0,0,0,1,0,669,18,0.693147180559945,6.50727771238501,0,669,0,0,669,15.2272727272727
44,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
41,0,60,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
44,0,55,-73,2,-1,3,0,-39,-3,-45,-1,NA,NA,NA,0,0,73,1755,-1.97727272727273
43,0,91,-50,0,-3,0,-3,-18,-2,2034,-4,NA,7.6182510978767,NA,0,0,150,-36612,46.8372093023256
45,0,19,-1,0,0,0,0,11,0,0,-3,2.484906649788,0,0,0,0,0,0,0.244444444444444
43,0,15,-27,0,0,0,0,-2,0,0,11,NA,0,0,0,0,0,0,-0.0465116279069767
44,0,59,0,0,0,0,0,14,1,0,0,2.70805020110221,0,0.693147180559945,0,0.0714285714285714,0,0,0.340909090909091
43,0,70,-6,0,0,0,0,-4,-3,0,1,NA,0,NA,0,0,0,0,-0.162790697674419
44,0,180,2,0,0,0,0,36,5,-1698,0,3.61091791264422,NA,1.79175946922805,-47.1666666666667,0.138888888888889,0,-61128,-37.6590909090909
42,0,0,-2,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
43,0,38,-11,0,0,0,0,0,0,6,0,0,1.94591014905531,0,0,0,0,0,0.13953488372093
42,0,116,-1,0,0,0,0,12,0,-61,31,2.56494935746154,NA,0,-5.08333333333333,0,0,-732,-1.16666666666667
44,0,95,-15,0,0,0,0,-11,0,6,10,NA,1.94591014905531,0,0,0,0,-66,-0.113636363636364
44,0,181,-2,0,0,0,0,20,-1,1544,0,3.04452243772342,7.34277918933185,-Inf,77.2,-0.05,0,30880,35.5227272727273
43,0,90,10,0,0,0,0,16,0,0,0,2.83321334405622,0,0,0,0,0,0,0.372093023255814
38,1,116,1,1,0,3,0,41,1,0,-26,3.73766961828337,0,0.693147180559945,0,0.024390243902439,0,0,1.10526315789474
43,0,0,0,0,0,0,0,0,0,-3,31,0,NA,0,0,0,0,0,-0.0697674418604651
43,0,193,15,3,1,3,0.5,9,1,-7657,0,2.30258509299405,NA,0.693147180559945,-850.777777777778,0.111111111111111,15,-68913,-177.837209302326
41,1,8,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
43,0,105,0,0,0,0,0,-4,0,0,-2,NA,0,0,0,0,0,0,-0.0930232558139535
42,0,33,-12,0,0,0,0,2,0,1,5,1.09861228866811,0.693147180559945,0,0.5,0,0,2,0.0714285714285714
43,0,93,-20,0,0,0,0,-4,0,-3745,-4,NA,NA,0,0,0,0,14980,-87.1860465116279
42,0,81,0,0,0,0,0,-2,0,2,-3,NA,1.09861228866811,0,0,0,0,-4,0
43,0,172,37,0,0,0,0,11,2,3460,2,2.484906649788,8.14931284363534,1.09861228866811,314.545454545455,0.181818181818182,0,38060,80.7674418604651
42,0,36,-4,0,0,0,0,-1,0,-3,27,-Inf,NA,0,0,0,0,3,-0.0952380952380952
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,88,-7,0,0,0,0,-10,0,-2611,1,NA,NA,0,0,0,0,26110,-62.4047619047619
42,0,40,0,0,0,0,0,1,0,-3,-23,0.693147180559945,NA,0,-3,0,0,-3,-0.0476190476190476
43,0,68,-1,0,0,0,0,3,0,0,-67,1.38629436111989,0,0,0,0,0,0,0.0697674418604651
43,0,136,9,0,0,0,0,21,0,-200,-5,3.09104245335832,NA,0,-9.52380952380952,0,0,-4200,-4.16279069767442
43,0,171,47,3,3,3,3,85,0,3,0,4.45434729625351,1.38629436111989,0,0.0352941176470588,0,141,255,2.04651162790698
42,0,63,20,0,0,0,0,4,0,0,31,1.6094379124341,0,0,0,0,0,0,0.0952380952380952
43,0,63,24,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
43,0,122,-44,0,-1,0,-3,-3,-3,705,-4,NA,6.55961523749324,NA,0,0,44,-2115,16.2558139534884
42,0,60,0,1,1,3,3,30,0,0,0,3.43398720448515,0,0,0,0,0,0,0.714285714285714
42,0,44,-11,0,0,0,0,-3,0,0,-1,NA,0,0,0,0,0,0,-0.0714285714285714
42,0,114,18,1,0,3,0,33,6,0,4,3.52636052461616,0,1.94591014905531,0,0.181818181818182,0,0,0.928571428571429
42,0,69,69,0,0,0,0,6,0,0,31,1.94591014905531,0,0,0,0,0,0,0.142857142857143
42,0,85,0,0,0,0,0,25,0,0,-3,3.25809653802148,0,0,0,0,0,0,0.595238095238095
42,0,0,-17,0,0,0,0,-1,0,0,25,-Inf,0,0,0,0,0,0,-0.0238095238095238
42,0,131,-2,0,0,0,0,2,0,489,31,1.09861228866811,6.19440539110467,0,244.5,0,0,978,11.6904761904762
41,0,60,29,0,0,0,0,4,0,-285,10,1.6094379124341,NA,0,-71.25,0,0,-1140,-6.85365853658537
42,0,189,2,2,2,3,3,32,2,-145,0,3.49650756146648,NA,1.09861228866811,-4.53125,0.0625,4,-4640,-2.64285714285714
42,0,178,-1,1,0,3,0,21,-1,104,0,3.09104245335832,4.65396035015752,-Inf,4.95238095238095,-0.0476190476190476,0,2184,2.95238095238095
42,0,105,5,0,0,0,0,-9,0,0,0,NA,0,0,0,0,0,0,-0.214285714285714
42,0,148,-14,1,0,2,-1,28,2,723,0,3.36729582998647,6.58479139238572,1.09861228866811,25.8214285714286,0.0714285714285714,0,20244,17.9285714285714
42,0,0,0,0,0,0,0,0,0,1,31,0,0.693147180559945,0,0,0,0,0,0.0238095238095238
41,0,104,-10,0,0,0,0,6,0,2,0,1.94591014905531,1.09861228866811,0,0.333333333333333,0,0,12,0.195121951219512
42,0,44,-25,0,0,0,0,-2,0,0,-95,NA,0,0,0,0,0,0,-0.0476190476190476
42,0,118,79,0,0,0,0,11,0,0,18,2.484906649788,0,0,0,0,0,0,0.261904761904762
42,0,16,10,2,2,3,3,19,0,0,-92,2.99573227355399,0,0,0,0,20,0,0.452380952380952
42,0,183,31,5,3,3,0,82,-4,124,0,4.4188406077966,4.8283137373023,NA,1.51219512195122,-0.0487804878048781,93,10168,4.80952380952381
42,0,120,-10,0,0,0,0,5,0,-166,0,1.79175946922805,NA,0,-33.2,0,0,-830,-3.83333333333333
40,0,107,-7,1,1,3,3,-33,-4,-22,-3,NA,NA,NA,0,0,-7,726,-1.475
40,0,165,30,2,2,3,3,52,0,-28,1,3.97029191355212,NA,0,-0.538461538461538,0,60,-1456,0.6
41,0,130,18,0,0,0,0,13,-2,-380,0,2.63905732961526,NA,NA,-29.2307692307692,-0.153846153846154,0,-4940,-9
40,1,130,0,1,1,3,3,-7,0,-87,4,NA,NA,0,0,0,0,609,-2.35
40,0,115,10,0,0,0,0,16,1,5,-3,2.83321334405622,1.79175946922805,0.693147180559945,0.3125,0.0625,0,80,0.55
39,0,15,-4,0,0,0,0,0,0,-14,31,0,NA,0,0,0,0,0,-0.358974358974359
36,1,105,-1,0,0,0,0,26,0,-61,-1,3.29583686600433,NA,0,-2.34615384615385,0,0,-1586,-0.972222222222222
40,0,73,50,0,0,0,0,10,0,1300,31,2.39789527279837,7.1708884785125,0,130,0,0,13000,32.75
13,0,121,-15,0,0,0,0,1,-1,266,0,0.693147180559945,5.58724865840025,-Inf,266,-1,0,266,20.4615384615385
13,0,3,0,2,1,3,3,19,0,0,-16,2.99573227355399,0,0,0,0,0,0,1.46153846153846
7,0,141,22,2,1,3,0,70,0,72,-3,4.26267987704132,4.29045944114839,0,1.02857142857143,0,22,5040,20.2857142857143
14,0,165,67,2,1,3,0,97,15,-1,-9,4.58496747867057,-Inf,2.77258872223978,-0.0103092783505155,0.154639175257732,67,-97,7.92857142857143
14,0,36,-44,0,-1,0,-3,6,0,150,2,1.94591014905531,5.01727983681492,0,25,0,44,900,11.1428571428571
12,1,143,37,0,0,0,0,50,3,18,28,3.93182563272433,2.94443897916644,1.38629436111989,0.36,0.06,0,900,5.91666666666667
14,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
14,0,124,-6,0,0,0,0,-7,0,28,7,NA,3.36729582998647,0,0,0,0,-196,1.5
14,0,150,50,0,0,0,0,-13,2,76,0,NA,4.34380542185368,1.09861228866811,0,0,0,-988,4.64285714285714
14,0,109,-3,0,0,0,0,2,0,463,9,1.09861228866811,6.13988455222626,0,231.5,0,0,926,33.2142857142857
13,0,118,-1,1,1,3,3,41,-2,5,0,3.73766961828337,1.79175946922805,NA,0.121951219512195,-0.0487804878048781,-1,205,3.38461538461538
12,0,215,8,2,1,3,1,17,-4,4914,0,2.89037175789616,8.50004703258127,NA,289.058823529412,-0.235294117647059,8,83538,410.583333333333
14,0,150,-44,0,0,0,0,-1,-4,14868,-16,-Inf,9.60703378769722,NA,0,0,0,-14868,1061.64285714286
11,0,158,32,0,0,0,0,33,0,-41,0,3.52636052461616,NA,0,-1.24242424242424,0,0,-1353,-0.727272727272727
11,0,87,20,0,0,0,0,27,0,-76,0,3.3322045101752,NA,0,-2.81481481481481,0,0,-2052,-4.45454545454545
14,0,173,9,1,-1,3,0,27,0,-785,0,3.3322045101752,NA,0,-29.0740740740741,0,-9,-21195,-54.1428571428571
12,0,119,-16,0,0,0,0,45,2,-301,0,3.8286413964891,NA,1.09861228866811,-6.68888888888889,0.0444444444444444,0,-13545,-21.1666666666667
13,0,167,10,0,0,0,0,10,0,29,-3,2.39789527279837,3.40119738166216,0,2.9,0,0,290,3
14,0,115,16,0,0,0,0,-8,0,-11,7,NA,NA,0,0,0,0,88,-1.35714285714286
13,0,165,77,0,-1,0,-3,42,0,-117,-4,3.76120011569356,NA,0,-2.78571428571429,0,-77,-4914,-5.76923076923077
14,0,59,-11,0,0,0,0,72,0,-11,-2,4.29045944114839,NA,0,-0.152777777777778,0,0,-792,4.35714285714286
13,1,0,0,0,0,0,0,0,0,-1,31,0,-Inf,0,0,0,0,0,-0.0769230769230769
14,0,5,-21,0,0,0,0,-1,0,-711,15,-Inf,NA,0,0,0,0,711,-50.8571428571429
14,0,162,53,0,0,0,0,-23,-2,4,-18,NA,1.6094379124341,NA,0,0,0,-92,-1.5
14,0,174,-3,0,-3,0,-3,30,-2,26,0,3.43398720448515,3.29583686600433,NA,0.866666666666667,-0.0666666666666667,9,780,3.85714285714286
14,0,192,8,1,0,3,-1,84,-1,-5,0,4.44265125649032,NA,-Inf,-0.0595238095238095,-0.0119047619047619,0,-420,5.57142857142857
14,0,162,5,2,-2,3,0,-1,0,224,4,-Inf,5.41610040220442,0,0,0,-10,-224,15.9285714285714
14,0,172,-3,1,-2,3,0,39,0,-229,0,3.68887945411394,NA,0,-5.87179487179487,0,6,-8931,-13.5714285714286
14,0,167,-7,1,1,3,3,39,-7,-436,0,3.68887945411394,NA,NA,-11.1794871794872,-0.179487179487179,-7,-17004,-28.8571428571429
8,0,129,-9,0,-1,0,-3,61,0,182,-2,4.12713438504509,5.20948615284142,0,2.98360655737705,0,9,11102,30.375
14,0,78,-6,0,0,0,0,9,0,9,0,2.30258509299405,2.30258509299405,0,1,0,0,81,1.28571428571429
14,0,53,27,0,0,0,0,0,0,-13,7,0,NA,0,0,0,0,0,-0.928571428571429
14,0,75,9,0,0,0,0,13,0,-8,29,2.63905732961526,NA,0,-0.615384615384615,0,0,-104,0.357142857142857
14,1,26,-1,0,0,0,0,4,0,-10,-3,1.6094379124341,NA,0,-2.5,0,0,-40,-0.428571428571429
13,0,0,-22,0,0,0,0,0,0,-4,30,0,NA,0,0,0,0,0,-0.307692307692308
13,0,120,-44,0,0,0,0,49,-1,-99,0,3.91202300542815,NA,-Inf,-2.02040816326531,-0.0204081632653061,0,-4851,-3.92307692307692
12,0,178,-33,5,-1,3,0,1,-2,-114,-1,0.693147180559945,NA,NA,-114,-2,33,-114,-9.58333333333333
13,0,188,1,0,-1,0,-3,8,-1,-41,-8,2.19722457733622,NA,-Inf,-5.125,-0.125,-1,-328,-2.61538461538462
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,133,0,2,2,3,3,39,0,-45,3,3.68887945411394,NA,0,-1.15384615384615,0,0,-1755,-0.428571428571429
12,0,113,-2,0,-1,0,-3,3,1,-11,-1,1.38629436111989,NA,0.693147180559945,-3.66666666666667,0.333333333333333,2,-33,-0.583333333333333
13,0,171,-21,0,0,0,0,54,-3,1091,-1,4.00733318523247,6.99576615630485,NA,20.2037037037037,-0.0555555555555556,0,58914,87.8461538461538
10,0,71,0,1,0,3,0,6,0,10,-1,1.94591014905531,2.39789527279837,0,1.66666666666667,0,0,60,1.6
